Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
367,De'Anthony Melton\meltode01,SG,23,MEM,54,13,22.7,3.6,9.3,.386,1.6,4.7,.343,2.0,4.6,.431,.473,1.2,1.7,.733,1.0,3.6,4.6,2.7,1.6,0.5,1.5,1.7,10.0
368,Sam Merrill\merrisa01,SG,25,MEM,6,0,9.7,1.3,4.0,.333,1.2,3.8,.304,0.2,0.2,1.000,.479,0.3,0.7,.500,0.2,1.0,1.2,0.7,0.0,0.0,0.3,0.5,4.2
369,Chimezie Metu\metuch01,C,24,SAC,42,20,22.2,3.4,7.8,.436,1.0,3.4,.280,2.5,4.4,.557,.497,1.2,1.6,.773,0.7,5.2,5.9,1.1,0.8,0.6,1.0,1.4,9.0
370,Khris Middleton\middlkh01,SF,30,MIL,50,50,32.1,6.6,15.0,.439,2.3,6.4,.358,4.3,8.6,.499,.515,4.1,4.6,.883,0.7,4.8,5.4,5.3,1.1,0.3,2.9,2.5,19.5
371,C.J. Miles\milescj01,SG,34,BOS,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
372,Patty Mills\millspa02,PG,33,BRK,62,44,30.6,4.5,10.8,.414,3.0,7.5,.408,1.4,3.4,.428,.555,0.7,0.9,.811,0.2,1.9,2.1,2.6,0.7,0.3,1.0,1.4,12.7
373,Paul Millsap\millspa01,PF,36,TOT,28,0,11.2,1.4,3.6,.392,0.3,1.1,.250,1.1,2.5,.457,.431,0.6,0.8,.696,1.3,2.3,3.6,1.0,0.2,0.4,0.5,2.1,3.7
373,Paul Millsap\millspa01,PF,36,BRK,24,0,11.3,1.3,3.5,.376,0.3,1.1,.222,1.1,2.4,.448,.412,0.5,0.7,.706,1.2,2.5,3.7,1.0,0.2,0.5,0.5,2.0,3.4
373,Paul Millsap\millspa01,PF,36,PHI,4,0,11.0,2.0,4.3,.471,0.5,1.3,.400,1.5,3.0,.500,.529,1.0,1.5,.667,1.8,1.3,3.0,0.8,0.3,0.0,0.8,2.5,5.5
374,Shake Milton\miltosh01,PG,25,PHI,33,6,23.4,3.6,8.8,.415,0.8,2.6,.287,2.9,6.1,.470,.458,1.5,1.7,.875,0.6,2.4,3.0,2.8,0.7,0.4,1.2,2.0,9.5
375,Davion Mitchell\mitchda01,PG,23,SAC,56,8,25.7,4.2,10.4,.404,1.4,4.3,.317,2.8,6.1,.465,.469,0.4,0.8,.568,0.5,1.7,2.3,3.4,0.7,0.3,1.2,1.9,10.2
376,Donovan Mitchell\mitchdo01,SG,25,UTA,48,48,33.5,9.3,20.3,.457,3.5,9.6,.362,5.8,10.7,.543,.543,3.9,4.5,.870,0.9,3.3,4.1,5.2,1.6,0.3,2.9,2.4,25.9
377,Evan Mobley\mobleev01,PF,20,CLE,53,53,34.1,6.0,12.0,.500,0.4,1.4,.260,5.6,10.6,.531,.515,2.5,3.6,.682,1.9,6.2,8.2,2.6,0.8,1.7,2.0,2.1,14.8
378,Malik Monk\monkma01,SG,23,LAL,55,20,27.2,4.7,10.1,.461,2.2,5.5,.393,2.5,4.5,.544,.569,1.2,1.6,.767,0.4,2.8,3.3,2.5,0.7,0.4,1.4,1.7,12.7
379,Greg Monroe\monrogr01,C,31,TOT,10,0,15.1,2.4,4.4,.545,0.0,0.0,,2.4,4.4,.545,.545,0.7,1.4,.500,2.3,2.9,5.2,1.4,0.6,0.7,0.9,1.6,5.5
379,Greg Monroe\monrogr01,C,31,MIN,3,0,21.0,3.0,4.7,.643,0.0,0.0,,3.0,4.7,.643,.643,0.7,1.7,.400,1.7,5.3,7.0,3.7,0.7,1.3,1.3,2.3,6.7
379,Greg Monroe\monrogr01,C,31,WAS,2,0,9.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,0.0,0.0,,3.5,1.5,5.0,0.5,0.5,0.5,1.0,1.0,4.0
379,Greg Monroe\monrogr01,C,31,MIL,5,0,14.0,2.2,4.4,.500,0.0,0.0,,2.2,4.4,.500,.500,1.0,1.8,.556,2.2,2.0,4.2,0.4,0.6,0.4,0.6,1.4,5.4
380,Moses Moody\moodymo01,SG,19,GSW,37,6,9.9,1.2,3.1,.381,0.6,1.9,.310,0.6,1.1,.500,.478,0.5,0.6,.783,0.3,1.1,1.4,0.3,0.1,0.2,0.2,0.7,3.4
381,Xavier Moon\moonxa01,SG,27,LAC,6,0,13.8,2.3,5.7,.412,0.5,1.7,.300,1.8,4.0,.458,.456,0.3,0.5,.667,0.2,1.3,1.5,1.7,0.8,0.2,0.5,0.7,5.5
382,Matt Mooney\moonema01,SG,24,NYK,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
383,Ja Morant\moranja01,PG,22,MEM,49,49,33.3,10.3,20.7,.498,1.6,4.5,.344,8.7,16.2,.540,.535,5.4,7.2,.754,1.4,4.5,5.9,6.6,1.2,0.4,3.4,1.4,27.6
384,Juwan Morgan\morgaju01,PF,24,TOR,1,0,27.0,2.0,3.0,.667,1.0,2.0,.500,1.0,1.0,1.000,.833,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0
385,Jaylen Morris\morrija01,SG,26,SAS,3,0,5.3,0.0,2.0,.000,0.0,0.7,.000,0.0,1.3,.000,.000,0.7,1.3,.500,0.0,0.7,0.7,0.7,0.0,0.0,0.3,0.7,0.7
386,Marcus Morris\morrima03,PF,32,LAC,39,39,29.9,5.8,13.3,.436,2.1,5.4,.390,3.7,7.9,.468,.515,2.3,2.7,.857,0.5,4.1,4.6,2.1,0.6,0.3,1.3,2.3,16.0
387,Markieff Morris\morrima02,PF,32,MIA,10,0,18.7,3.2,7.0,.457,0.8,2.2,.364,2.4,4.8,.500,.514,0.5,0.5,1.000,1.3,1.5,2.8,1.4,0.3,0.1,1.2,2.2,7.7
388,Monte Morris\morrimo01,PG,26,DEN,55,54,29.9,5.1,10.6,.482,1.7,4.3,.389,3.4,6.3,.546,.562,0.9,1.1,.862,0.4,2.5,2.9,4.2,0.7,0.2,1.0,1.2,12.9
